51300027690,fbe,158,48
51300051131,eff,218,40
51300098954,gcb,125,218
51300107646,fgd,249,253
51300114326,ceg,99,106
51300115195,fcf,251,12
51300126690,fad,277,198
51300161457,egb,216,108
51300262187,bdb,170,191
51300273193,cdb,188,101
51300279754,fce,279,236
51300351391,gcg,267,23
51300361423,gec,133,92
51300399062,cgf,144,72
51300408382,gbb,3,222
51300422056,efe,97,243
51300440774,gbf,86,149
51300448720,eca,35,104
51300533188,gfe,267,237
51300552880,eeb,267,48
51300587162,acc,87,227
51300609645,abe,292,194
51300612619,ebc,76,43
51300644116,dec,280,83
51300658693,abf,128,211
51300690043,ded,147,169
51300714195,fac,60,155
51300716403,bab,192,119
51300731833,fbg,66,35
51300795396,daf,57,27
51300828899,eee,119,139
51300872810,gab,13,184
51300892849,gcd,246,94
51300939083,dba,104,43
51300945697,def,154,269
51300971394,ceg,212,104
51300980533,gdf,5,14
51300993830,caa,22,115
51300997896,afe,253,155
51301012559,fcd,228,228
51301014277,dab,160,162
51301018095,cdc,40,281
51301066590,bag,111,119
51301095786,gge,89,12
51301126932,cgg,85,236
51301146393,daa,261,68
51301161841,cag,97,22
51301171479,def,257,309
51301253906,afg,279,38
51301254145,fea,291,204
51301303279,gba,225,191
51301352699,cfe,44,60
51301355329,fgd,64,245
51301375007,bda,227,188
51301380556,cae,51,157
51301383866,cgf,186,61
51301384715,fde,215,121
51301421888,acd,2,186
51301430605,bgc,206,144
51301466523,ggd,143,236
51301577887,ggg,194,238
51301579968,dfc,32,11
51301581575,bcf,295,240
51301607276,cfe,191,59
51301703037,abc,47,217
51301734404,ade,13,38
51301744737,gae,149,65
51301746932,edb,26,262
51301750203,egc,190,219
51301786617,bab,114,115
51301814853,abg,167,162
51301833087,adf,234,86
51301835776,aad,86,218
51301846956,bfb,207,195
51301877486,cdb,279,104
51301881128,cfg,169,239
51301939837,efg,117,186
51301958112,bda,12,212
51301994322,fbe,169,46
51302015456,bfc,100,240
51302030646,bdc,127,9
51302054037,bde,253,19
51302140339,ffc,245,167
51302143327,fdc,244,229
51302154296,dbb,67,115
51302158961,eec,24,143
51302205232,bad,179,149
51302219591,aab,250,205
51302224460,eba,108,272
51302237105,aef,71,278
51302246195,ffb,117,267
51302261318,ceb,132,132
51302283168,aae,98,71
51302327953,fcb,82,7
51302368045,gda,239,172
51302371048,aga,246,223
51302376635,aec,124,167
51302397378,bfc,228,218
51302430582,edf,16,285
51302449733,fee,20,204
51302453704,gfc,5,196
51302477600,dda,224,296
51302521825,ecg,30,91
51302556598,efg,168,221
51302580810,cgc,141,179
51302593200,beg,196,62
51302633188,gdc,48,163
51302633503,dge,240,156
51302704297,faf,254,111
51302709650,gcb,44,191
51302724612,bbb,86,124
51302731253,acc,189,238
51302783356,eed,21,68
51302801878,aab,144,243
51302832205,dbe,45,104
51302843079,cdf,270,31
51302851785,cdc,143,238
51302884590,afg,4,34
51302898041,dcd,157,62
51302921013,bfe,118,143
51302952485,fga,163,24
51302993711,aag,218,176
51303026591,agb,288,207
51303059683,bff,232,184
51303072275,cec,203,114
51303078271,cgf,170,51
51303081740,agc,105,288
51303084019,cac,52,176
51303111129,bed,74,290
51303112325,egd,47,162
51303127953,cdd,67,165
51303130287,dcg,258,279
51303145861,fcd,257,191
51303158212,ccd,66,89
51303179537,gbe,71,179
51303215632,dga,146,268
51303223073,bbg,50,128
51303224048,gcb,34,210
51303225983,ggb,158,273
51303238969,bgd,36,63
51303284437,efd,179,261
51303288093,ecf,114,127
51303324012,gad,246,60
51303332600,ecg,51,104
51303347617,bgc,49,164
51303404079,bae,218,123
51303440232,agf,125,178
51303487278,afe,58,142
51303497490,adc,195,147
51303504395,daf,106,21
51303508285,dgb,12,211
51303530823,fga,35,24
51303532820,eac,251,72
51303549769,ccd,271,86
51303550443,bcg,212,55
51303607784,bdf,15,142
51303615058,efe,187,228
51303619093,ffg,79,187
51303673699,bcd,46,88
51303678251,ecc,142,27
51303742557,ccf,191,197
51303771942,efg,45,247
51303774244,ada,81,135
51303775763,efb,128,63
51303780613,gec,140,79
51303804399,cce,228,138
51303836518,edg,17,209
51303900853,cab,2,53
51303909354,fdg,101,85
51303910695,agg,67,164
51303930428,fac,121,128
51303938314,aga,200,218
51303995477,bcc,280,202
51304011930,eff,170,45
51304023253,baa,49,68
51304028852,dad,165,247
51304032526,bgg,211,86
51304044531,bdc,289,10
51304113469,gfb,258,114
51304148844,dea,264,42
51304158586,dbd,3,27
51304167684,ged,27,194
51304168876,geb,7,127
51304173090,beb,29,258
51304189568,fad,121,184
51304206836,gca,196,205
51304222344,gfa,93,116
51304250367,baa,291,57
51304262037,gfa,154,120
51304267326,fea,125,216
51304295248,aff,5,60
51304296285,cde,72,42
51304317277,eca,246,107
51304331377,ede,171,57
51304335500,fca,263,93
51304361802,dcb,234,298
51304417430,ddg,280,93
51304426716,fbb,199,65
51304446063,gbc,9,35
51304453858,ebb,96,200
51304462041,ccc,231,83
51304482515,bbg,261,122
51304483908,eee,185,159
51304486405,aff,86,50
51304490043,gea,27,204
51304520626,cga,199,112
51304525123,feb,109,292
51304567295,bee,210,145
51304588001,bdg,125,98
51304592282,fdf,59,66
51304605535,dbe,88,86
51304636137,egg,116,123
51304643811,fce,131,224
51304677716,ebg,54,111
51304694752,egf,284,204
51304695929,fab,194,17
51304697593,gfa,127,102
51304715378,cag,284,18
51304722958,bfg,154,218
51304727837,fed,287,31
51304739214,fcf,27,14
51304795031,bec,130,152
51304816990,ebc,268,46
51304849175,gca,93,196
51304857212,deb,95,152
51304880098,ddc,77,89
51304885626,aee,220,49
51304935424,ecb,280,185
51304946193,cdb,75,104
51304974885,bfg,259,174
51305014020,ffa,38,171
51305032382,ddf,115,234
51305058499,gac,80,299
51305092684,fbf,93,166
51305101724,bfa,150,185
51305137221,acf,149,89
51305146493,eef,222,99
51305155198,gba,233,208
51305159005,fgd,225,213
51305165872,cca,124,114
51305183624,eca,40,124
51305212248,cfc,169,31
51305236240,efe,74,243
51305252676,dcf,48,266
51305287853,fga,200,26
51305289540,aca,148,56
51305304602,gde,286,214
51305324908,ead,207,121
51305332616,dfg,7,129
51305368285,bde,263,16
51305379510,fdd,161,191
51305380812,def,134,247
51305392930,dfg,98,118
51305396876,eag,184,136
51305412344,ddb,255,147
51305453286,agd,121,44
51305453372,aeb,138,49
51305474517,fgd,207,219
51305488412,aaf,30,108
51305499895,feg,131,135
51305534650,bcg,142,47
51305549172,bgg,230,79
51305604790,cbd,134,25
51305711843,cbg,268,251
51305723660,gda,161,161
51305728329,feg,150,160
51305769532,fgb,216,268
51305778210,cdc,158,204
51305810209,gfc,171,192
51305811894,cbd,63,24
51305818728,gaf,298,196
51305828567,gdb,184,257
51305876526,fcb,296,8
51305879194,eda,180,282
51305890977,ddf,285,187
51305904665,gdg,251,249
51305917276,ebd,155,239
51305930896,gfg,73,72
51305941923,ddf,114,187
51305949176,fec,156,151
51305973369,bbd,171,221
51305996141,aae,105,71
51306034845,dcc,47,288
51306041652,cgd,295,201
51306062773,cea,234,77
51306103866,bbg,156,122
51306122407,bca,193,100
51306122605,ggd,247,198
51306149234,faa,104,285
51306152627,gcc,174,83
51306155886,aeg,82,214
51306156616,gbb,216,206
51306163565,ebd,49,210
51306177379,gae,61,75
51306209300,gee,34,59
51306265013,aff,152,51
51306270307,gde,1,177
51306296176,gbb,98,238
51306304077,beb,134,270
51306304884,ddg,7,77
51306309001,ece,116,183
51306313232,adf,245,99
51306325606,fce,201,266
51306334190,cdd,75,133
51306335358,efa,38,69
51306357115,gee,54,54
51306360708,fed,143,28
51306373078,ffe,167,191
51306378311,daa,163,70
51306384211,afa,149,143
51306394399,cfa,222,5
51306403601,ffc,69,190
51306407285,dab,192,139
51306424350,ffd,261,179
51306424903,aba,203,69
51306452591,cba,209,185
51306469671,ccb,191,189
51306471483,cae,242,182
51306485255,fea,66,205
51306506928,eae,130,175
51306515104,dca,252,64
51306528673,bad,238,141
51306542489,bee,86,137
51306547930,fgc,206,155
51306548196,eag,129,156
51306548761,bab,186,113
51306551339,fcc,95,63
51306554722,daf,263,22
51306562102,daf,150,22
51306590305,eaf,124,102
51306591671,bbf,89,73
51306593069,acb,61,123
51306600349,dcd,227,73
51306617879,bba,1,54
51306634869,cgd,44,162
51306663824,bea,135,72
51306674230,ada,112,151
51306687557,dde,278,135
51306690581,cee,294,218
51306699694,gag,13,169
51306704565,eec,142,153
51306719604,add,15,39
51306747181,egb,212,103
51306751042,baf,15,198
51306754916,ebd,212,210
51306764730,gbg,154,48
51306772204,cdg,27,102
51306781317,agg,117,188
51306791599,eeb,31,48
51306793984,bad,152,153
51306817212,dfb,173,38
51306819838,dda,270,310
51306829710,caf,269,141
51306863622,dec,240,78
51306875472,fbg,245,31
51306887155,ccg,68,161
51306887569,fdd,259,156
51306895885,acc,153,261
51306936981,faa,122,247
51306944762,cef,90,187
51306952676,ffe,180,152
51306960075,age,39,72
51306962408,afc,4,102
51306966667,cec,246,104
51306969635,ffa,196,177
51306977165,aff,132,60
51307005912,edg,26,225
51307025863,gaa,150,249
51307034549,bcd,114,85
51307061634,fag,107,193
51307090928,bbe,158,251
51307096361,fdb,217,248
51307100064,gff,132,53
51307101732,gdd,123,298
51307109127,ceg,138,94
51307134784,dgc,265,125
51307143861,efe,208,255
51307147638,gga,106,91
51307148138,afd,202,45
51307159193,bbc,180,30
51307183003,ged,265,155
51307193252,bee,189,117
51307221004,bgb,172,225
51307229434,fdd,253,177
51307243306,dbe,166,82
51307263779,gfc,207,157
51307271027,dde,33,122
51307282746,edf,275,296
51307331770,cfd,61,8
51307335502,adb,175,54
51307350121,dgf,117,242
51307365867,cbb,95,160
51307372208,aeb,135,49
51307372610,baf,176,190
51307383591,dgg,74,272
51307387049,dbb,15,132
51307402476,bea,18,57
51307407541,abd,166,138
51307417848,cdf,105,30
51307443307,cfa,49,5
51307460699,cbf,175,102
51307476028,gcf,260,18
51307482554,adg,290,37
51307526005,bee,242,131
51307540293,bdd,290,236
51307540645,fca,206,80
51307554239,cca,238,127
51307558249,edd,26,26
51307577504,fda,277,74
51307592583,cge,73,290
51307623708,ega,257,145
51307636016,bge,185,51
51307648927,dae,191,60
51307650921,gcf,28,16
51307658922,gbd,72,120
51307664757,gcg,86,23
51307694426,dcg,113,318
51307704279,ebg,223,95
51307758326,fad,69,178
51307761327,dfd,189,262
51307765917,cbc,113,110
51307767442,gad,133,61
51307769977,eac,114,72
51307774321,ebe,180,150
51307779591,fbd,64,220
51307784068,eea,179,186
51307796313,ggf,14,6
51307797519,gcd,73,108
51307798109,aab,172,281
51307817501,dce,26,11
51307823401,dcc,141,299
51307850284,bdf,80,143
51307858260,fea,193,241
51307872490,bdb,283,210
51307880352,gbe,230,180
51307889230,fde,213,142
51307915570,dbf,68,246
51307920335,eef,260,87
51307922864,gbg,272,47
51307924818,aec,98,140
51307943168,cda,215,120
51307955728,bbd,40,216
51307958025,fda,264,69
51307988116,caa,136,131
51307988270,bde,125,17
51307997847,agf,112,149
51307998770,ebf,197,149
51308028456,cbd,3,22
51308043664,geg,218,108
51308050503,dfc,16,10
51308057397,bcb,247,109
51308058241,bcf,246,232
51308094187,daa,296,63
51308098969,bea,237,48
51308112958,cbe,21,268
51308125828,ade,30,34
51308149723,efc,139,30
51308191117,bda,62,216
51308191878,bag,121,107
51308226401,gbc,124,37
51308229641,dba,199,47
51308236460,fdc,68,224
51308246913,aaa,57,286
51308268048,eaa,206,91
51308287435,fae,222,261
51308290511,dge,60,168
51308292841,fba,101,10
51308303009,edc,252,258
51308332054,bcg,269,53
51308347341,ggb,22,324
51308360741,dac,245,228
51308369403,abe,9,162
51308382807,cbf,9,88
51308383012,ege,119,47
51308414534,ggc,181,76
51308421632,fee,227,173
51308440119,gcg,22,20
51308474143,efd,219,287
51308484506,fgf,26,72
51308502866,abf,62,177
51308502939,cgg,86,214
51308506610,eeg,65,163
51308509174,bce,14,223
51308546992,gfd,70,136
51308547896,gef,260,130
51308550517,bea,136,38
51308593676,bdc,263,9
51308595063,eab,171,17
51308628639,eae,66,169
51308655942,aea,252,181
51308658690,bbb,121,110
51308661233,dff,294,21
51308675297,fce,19,223
51308689524,dgd,56,156
51308721715,dbg,249,129
51308742319,aff,1,49
51308765874,gdc,288,176
51308767175,ebd,189,218
51308769697,cbg,133,213
51308808094,edb,211,311
51308830743,bcc,5,177
51308841685,acg,21,237
51308865908,bef,217,234
51308887663,bac,221,239
51308898526,gbd,152,128
51308903775,ggc,198,74
51308905154,cac,181,172
51308908661,cdf,268,30
51308918479,gcf,136,16
51308961938,gac,283,316
51308987073,fge,34,189
51308997306,feb,59,268
51308998838,cdd,57,134
51309007021,dfa,44,101
51309019344,dcd,33,86
51309023129,bge,59,59
51309023913,gce,60,173
51309043773,dbc,171,269
